Customer_ID,Total_Months,Active_Months,Inactive_Months,Reliability_Score,Reliability_Band,Total_Spend,Final_Avg_Spent,Total_Transaction_Value,Unique_Invoice_Count,Average_Invoice_Value,Monthly_Value_CV,Recency_Days,Customer_Lifetime_Months,Purchase_Frequency,First_Purchase_Date,Last_Purchase_Date,Spend_Trend,Trend_Status,Cluster,Customer_Segment,Risk_Level
12346,6,2,4,33.33,Likely to Exit,580.44,12.0925,-64.68,17,-3.8,4.8745,347,25,0.68,2009-12-14,2011-01-18,,Insufficient History,3,"Low-Value, Reliable, Lapsed",Medium Risk
12347,8,2,6,25.0,Likely to Exit,644.16,2.5461,5633.32,8,704.17,1.2163,24,15,0.5333,2010-10-31,2011-12-07,2.597,Increasing,0,"High-Value, Reliable, Recent",High Risk
12348,5,0,5,0.0,Likely to Exit,193.1,3.7863,2019.4,5,403.88,1.8519,97,16,0.3125,2010-09-27,2011-09-25,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12349,5,4,1,80.0,Very Loyal,1504.59,8.3588,4404.54,5,880.91,2.6365,40,25,0.2,2009-12-04,2011-11-21,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12350,1,0,1,0.0,Likely to Exit,65.3,3.8412,334.4,1,334.4,3.1623,332,11,0.0909,2011-02-02,2011-02-02,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12351,1,0,1,0.0,Likely to Exit,49.46,2.3552,300.93,1,300.93,3.6056,397,14,0.0714,2010-11-29,2010-11-29,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12352,5,2,3,40.0,At Risk,2265.7,20.0504,1889.21,13,145.32,1.724,58,14,0.9286,2010-11-12,2011-11-03,0.493,Declining,0,"High-Value, Reliable, Recent",Medium Risk
12353,2,0,2,0.0,Likely to Exit,63.08,2.6283,406.76,2,203.38,2.9786,226,15,0.1333,2010-10-27,2011-05-19,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12354,1,1,0,100.0,Very Loyal,261.22,4.5038,1079.4,1,1079.4,2.8284,254,9,0.1111,2011-04-21,2011-04-21,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12355,2,0,2,0.0,Likely to Exit,107.43,3.0694,947.61,2,473.8,3.0015,236,20,0.1,2010-05-21,2011-05-09,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12356,5,2,3,40.0,At Risk,450.25,3.1486,6373.68,6,1062.28,1.9735,44,15,0.4,2010-10-11,2011-11-17,,Insufficient History,0,"High-Value, Reliable, Recent",Medium Risk
12357,2,2,0,100.0,Very Loyal,1834.31,6.197,18287.66,3,6095.89,2.5926,55,14,0.2143,2010-11-16,2011-11-06,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12358,5,1,4,20.0,Likely to Exit,413.34,5.3681,3887.07,5,777.41,2.3212,23,25,0.2,2009-12-08,2011-12-08,1.409,Increasing,0,"High-Value, Reliable, Recent",High Risk
12359,11,8,3,72.73,Likely to Stay,2787.89,7.4344,8714.89,14,622.49,1.9146,29,25,0.56,2009-12-05,2011-12-02,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12360,7,5,2,71.43,Likely to Stay,736.13,3.3767,4212.89,9,468.1,1.8947,74,23,0.3913,2010-02-22,2011-10-18,1.952,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12361,4,0,4,0.0,Likely to Exit,112.25,3.8707,511.25,4,127.81,2.3418,309,24,0.1667,2010-01-26,2011-02-25,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12362,9,4,5,44.44,At Risk,1213.29,4.412,5284.58,14,377.47,1.7587,25,25,0.56,2009-12-01,2011-12-06,1.64,Increasing,0,"High-Value, Reliable, Recent",Medium Risk
12363,2,0,2,0.0,Likely to Exit,53.17,2.3117,552.0,2,276.0,1.8792,131,9,0.2222,2011-04-11,2011-08-22,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12364,4,0,4,0.0,Likely to Exit,162.37,1.9102,1313.1,4,328.28,0.8282,29,5,0.8,2011-08-19,2011-12-02,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12365,1,1,0,100.0,Very Loyal,698.0,30.3478,320.69,3,106.9,3.1623,313,11,0.2727,2011-02-21,2011-02-21,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Low Risk
12366,1,0,1,0.0,Likely to Exit,5.07,1.69,500.24,1,500.24,4.5826,655,22,0.0455,2010-03-16,2010-03-16,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12367,1,0,1,0.0,Likely to Exit,35.2,3.2,168.9,1,168.9,0.0,26,1,1.0,2011-12-05,2011-12-05,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12368,1,0,1,0.0,Likely to Exit,79.05,4.3917,917.7,1,917.7,4.5826,650,22,0.0455,2010-03-21,2010-03-21,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12369,3,1,2,33.33,Likely to Exit,292.85,3.1489,1791.15,3,597.05,3.3076,435,22,0.1364,2010-03-08,2010-10-22,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Medium Risk
12370,5,3,2,60.0,Likely to Stay,692.01,3.4258,4320.31,7,617.19,2.3461,73,23,0.3043,2010-02-09,2011-10-19,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12371,3,3,0,100.0,Very Loyal,665.93,3.9876,4067.38,5,813.48,2.7416,66,22,0.2273,2010-03-04,2011-10-26,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12372,3,0,3,0.0,Likely to Exit,156.07,3.0013,1298.04,3,432.68,1.6538,93,11,0.2727,2011-02-16,2011-09-29,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12373,3,0,3,0.0,Likely to Exit,236.0,4.6275,1127.65,3,375.88,2.6048,333,23,0.1304,2010-02-04,2011-02-01,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12374,3,1,2,33.33,Likely to Exit,288.72,3.4786,2989.22,4,747.31,2.5608,47,21,0.1905,2010-04-30,2011-11-14,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Medium Risk
12375,3,0,3,0.0,Likely to Exit,119.6,6.6444,455.42,3,151.81,1.0,24,4,0.75,2011-09-02,2011-12-07,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12376,2,0,2,0.0,Likely to Exit,104.4,8.0308,503.15,2,251.58,3.222,411,15,0.1333,2010-10-18,2010-11-15,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12377,4,3,1,75.0,Likely to Stay,416.52,2.7403,3426.32,4,856.58,2.1764,337,21,0.1905,2010-04-29,2011-01-28,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12378,2,2,0,100.0,Very Loyal,1017.41,3.3801,5416.32,2,2708.16,3.3624,151,20,0.1,2010-05-26,2011-08-02,0.0,Declining,0,"High-Value, Reliable, Recent",Low Risk
12379,5,0,5,0.0,Likely to Exit,237.5,2.8963,1618.27,5,323.65,1.9451,103,19,0.2632,2010-06-23,2011-09-19,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
